"locale_code","model_id","rep_order_no","sku","sales_model_code","model_name","small_image_addr","r_small_image_addr","small_image_replace_use","md_add","large_image_addr","r_large_image_addr","large_image_replace_use","md_add2","zoom_image_addr","r_zoom_image_addr","zoom_image_replace_use","md_add3","zoom_mobile_image_addr","r_zoom_mobile_image_addr","zoom_mobile_image_replace_use","md_add4"
UK,MD07578604,5,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small05.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small05.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium05.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium05.jpg,N,N,/uk/images/monitors/md07578604/gallery/large05.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large05.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m05.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m05.jpg,N,N
UK,MD07578604,6,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small06.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small06.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium06.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium06.jpg,N,N,/uk/images/monitors/md07578604/gallery/large06.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large06.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m06.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m06.jpg,N,N
UK,MD07578604,7,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small07.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small07.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium07.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium07.jpg,N,N,/uk/images/monitors/md07578604/gallery/large07.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large07.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m07.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m07.jpg,N,N
UK,MD07578604,8,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small08.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small08.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium08.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium08.jpg,N,N,/uk/images/monitors/md07578604/gallery/large08.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large08.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m08.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m08.jpg,N,N
UK,MD07578604,9,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small09.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small09.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium09.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium09.jpg,N,N,/uk/images/monitors/md07578604/gallery/large09.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large09.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m09.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m09.jpg,N,N
UK,MD07578604,10,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small10.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small10.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium10.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium10.jpg,N,N,/uk/images/monitors/md07578604/gallery/large10.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large10.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m10.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m10.jpg,N,N
UK,MD07578604,11,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small11.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small11.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium11.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium11.jpg,N,N,/uk/images/monitors/md07578604/gallery/large11.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large11.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m11.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m11.jpg,N,N
UK,MD07578604,12,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small12.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small12.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium12.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium12.jpg,N,N,/uk/images/monitors/md07578604/gallery/large12.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large12.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m12.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m12.jpg,N,N
UK,MD07578604,13,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small13.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small13.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium13.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium13.jpg,N,N,/uk/images/monitors/md07578604/gallery/large13.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large13.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m13.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m13.jpg,N,N
UK,MD07578604,14,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small14.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small14.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium14.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium14.jpg,N,N,/uk/images/monitors/md07578604/gallery/large14.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large14.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m14.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m14.jpg,N,N
