"model_id","original_model_id","sku","model_status_code","locale","page_name","locale_code"
MD00017216,MD00017216,MC8088HR.CBKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017217,MD00017217,MH5847C.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017218,MD00017218,MH-5847C.CWHQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017219,MD00017219,MH5887U.CSSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017220,MD00017220,MH6387ARK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017221,MD00017221,"",DISCONTINUED,UK,"",
MD00017222,MD00017222,MP9287NB.ABKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017223,MD00017223,MP9287NL.ASSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017228,MD00017228,MS-1947C.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017229,MD00017229,MS-1947C.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017230,MD00017230,MS1947W.CWHQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017231,MD00017231,MS1947WB.CBKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017232,MD00017232,MS1947WS.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017242,MD00017242,"55LE8900.AEK.EEUK.UK.C",SUSPENDED,UK,"",
MD00017243,MD00017243,GWL227HBYA.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017244,MD00017244,GWL227HSYA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017246,MD00017246,DP471B.AGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017247,MD00017247,VC6820NRT.CRNQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017248,MD00017248,F1402FDS.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017249,MD00017249,F1403TDS.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017250,MD00017250,RC8015A.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017254,MD00017254,GW620.AGBWBQ.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017267,MD00017267,WD-12311RDK.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017268,MD00017268,WD-12316RDK.AMSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017270,MD00017270,RH398M-P.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017271,MD00017271,RH399M-P.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017291,MD00017291,PC14DAB.DGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017292,MD00017292,VF5718CNB.CBLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017293,MD00017293,HB954PB.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017294,MD00017294,HT904TA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017295,MD00017295,HT554TH.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017296,MD00017296,HB354BS.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017297,MD00017297,HT33S.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017298,MD00017298,HT32S.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017300,MD00017300,GRF429BBGA.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017301,MD00017301,GRF459BSGA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017302,MD00017302,GR419BSGA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017304,MD00017304,BD370.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017305,MD00017305,RHT498H.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017306,MD00017306,RHT498H.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017307,MD00017307,RHT497H.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017308,MD00017308,GCF409BSQW.CAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017309,MD00017309,GCB399BVCA.CSWQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017310,MD00017310,GCF399BBQA.CWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017311,MD00017311,GRP247JHMV.ALEQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017312,MD00017312,GWB207FSQA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017313,MD00017313,GWL207FLQA.APLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017314,MD00017314,GWL207FBQA.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017315,MD00017315,GWL207FSQA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017316,MD00017316,N1941W-PF.AEU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017317,MD00017317,GWL227HTYA.ATIQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017318,MD00017318,GWL227HSQA.AAVQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017319,MD00017319,GWL227HBQA.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017322,MD00017322,HT304SU.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017324,MD00017324,HR400.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017326,MD00017326,N1742L-BF.AEU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017333,MD00017333,HBM-580.AGEUTS.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017334,MD00017334,HBS-250.AGEUBL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017336,MD00017336,MSP-500.AGEUOR.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017338,MD00017338,GT500.ATMUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017339,MD00017339,GT505.AORUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017340,MD00017340,GW520.AORUSV.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017343,MD00017343,GD910.AGBRBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017344,MD00017344,PCB-100.ASTG.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017345,MD00017345,GD510.AGBRSV.EEUK.UK.C,SUSPENDED,UK,"",
MD00017350,MD00017350,GR-L247CKPV.ABSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017352,MD00017352,GGW-H20L.AUAR00B.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017353,MD00017353,GWB207FLQA.APLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017354,MD00017354,GR419BSCA.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017355,MD00017355,GWB207FBQA.AWBQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017360,MD00017360,HLB54S.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017361,MD00017361,BD390.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017367,MD00017367,N2B1DD2.AUKR01I.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017368,MD00017368,N2R1D.AUKR01I.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017369,MD00017369,N2R1DB2.AUAR01I.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017370,MD00017370,MS2049FS.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017371,MD00017371,MS2549DRK.CBKQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
